TimePeriod,Area_Name,Number of Vehicles Available,Data_Value
2002, Rajasthan,Car,2
2002, Uttar Pradesh,Car,2
2002, Bihar,Car,0
2002, Sikkim,Car,0
2002, Nagaland,Car,1
2002, Manipur,Car,2
2002, Mizoram,Car,0
2002, Tripura,Car,3
2002, Meghalaya,Car,0
2002, Assam,Car,0
2002, West Bengal,Car,1
2002, Jharkhand,Car,0
2002, Odisha,Car,3
2002, Chhattisgarh,Car,1
2002, Madhya Pradesh,Car,3
2002, Gujarat,Car,3
2002,Daman & Diu,Car,0
2002,Dadra & Nagar Haveli,Car,0
2002, Maharashtra,Car,5
2002, Andhra Pradesh,Car,7
2002, Karnataka,Car,4
2002, Goa,Car,0
2002,Lakshadweep,Car,0
2002, Kerala,Car,5
2002, Tamil Nadu,Car,15
2002,Puducherry,Car,0
2003, Jammu & Kashmir,Car,3
2003, Himachal Pradesh,Car,2
2003, Punjab,Car,4
2003,Chandigarh,Car,1
2003, Uttarakhand,Car,0
2003, Haryana,Car,0
2003,Delhi,Car,4
2003, Rajasthan,Car,2
2003, Uttar Pradesh,Car,2
2003, Bihar,Car,0
2003, Sikkim,Car,0
2003, Nagaland,Car,1
2003, Manipur,Car,1
2003, Mizoram,Car,0
2003, Tripura,Car,3
2003, Meghalaya,Car,0
2003, Assam,Car,0
2003, West Bengal,Car,1
2003, Jharkhand,Car,0
2003, Odisha,Car,3
2003, Chhattisgarh,Car,1
2003, Madhya Pradesh,Car,0
2003, Gujarat,Car,3
2003,Daman & Diu,Car,0
2003,Dadra & Nagar Haveli,Car,0
2003, Maharashtra,Car,4
2003, Andhra Pradesh,Car,7
2003, Karnataka,Car,4
2003, Goa,Car,0
2003,Lakshadweep,Car,0
2003, Kerala,Car,6
2003, Tamil Nadu,Car,15
2003,Puducherry,Car,0
2003,Andaman & Nicobar Islands,Car,0
2004, Jammu & Kashmir,Car,4
2004, Himachal Pradesh,Car,0
2004, Punjab,Car,6
2004,Chandigarh,Car,1
2004, Uttarakhand,Car,0
2004, Haryana,Car,0
2004,Delhi,Car,4
2004, Rajasthan,Car,2
2004, Uttar Pradesh,Car,2
2004, Bihar,Car,0
2004, Sikkim,Car,0
2004, Nagaland,Car,1
2004, Manipur,Car,1
2004, Mizoram,Car,0
2004, Tripura,Car,3
2004, Meghalaya,Car,0
2004, Assam,Car,0
2004, West Bengal,Car,0
2004, Jharkhand,Car,0
2004, Odisha,Car,3
2004, Chhattisgarh,Car,1
2004, Madhya Pradesh,Car,3
2004, Gujarat,Car,1
2004,Daman & Diu,Car,0
2004,Dadra & Nagar Haveli,Car,0
2004, Maharashtra,Car,0
2004, Andhra Pradesh,Car,10
2004, Karnataka,Car,4
2004, Goa,Car,1
2004,Lakshadweep,Car,0
2004, Kerala,Car,6
2004, Tamil Nadu,Car,10
2004,Puducherry,Car,0
2004,Andaman & Nicobar Islands,Car,0
2005, Jammu & Kashmir,Car,4
2005, Himachal Pradesh,Car,0
2005, Punjab,Car,6
2005,Chandigarh,Car,0
2005, Uttarakhand,Car,0
2005, Haryana,Car,0
2005,Delhi,Car,5
2005, Rajasthan,Car,2
2005, Uttar Pradesh,Car,5
2005, Bihar,Car,4
2005, Sikkim,Car,0
2005, Nagaland,Car,1
2005, Manipur,Car,1
2005, Mizoram,Car,0
2005, Tripura,Car,3
2005, Meghalaya,Car,0
2005, Assam,Car,4
2005, West Bengal,Car,2
2005, Jharkhand,Car,0
2005, Odisha,Car,4
2005, Chhattisgarh,Car,1
2005, Madhya Pradesh,Car,1
2005, Gujarat,Car,1
2005,Daman & Diu,Car,0
2005,Dadra & Nagar Haveli,Car,0
2005, Maharashtra,Car,2
2005, Andhra Pradesh,Car,16
2005, Karnataka,Car,4
2005, Goa,Car,0
2005,Lakshadweep,Car,0
2005, Kerala,Car,6
2005, Tamil Nadu,Car,10
2005,Puducherry,Car,0
2005,Andaman & Nicobar Islands,Car,0
2006, Jammu & Kashmir,Car,4
2006, Himachal Pradesh,Car,0
2006, Punjab,Car,6
2006,Chandigarh,Car,1
2006, Uttarakhand,Car,0
2006, Haryana,Car,0
2006,Delhi,Car,4
2006, Rajasthan,Car,2
2006, Uttar Pradesh,Car,0
2006, Bihar,Car,4
2006, Sikkim,Car,0
2006, Nagaland,Car,1
2006, Manipur,Car,1
2006, Mizoram,Car,1
2006, Tripura,Car,3
2006, Meghalaya,Car,0
2006, Assam,Car,0
2006, West Bengal,Car,4
2006, Jharkhand,Car,0
2006, Odisha,Car,4
2006, Chhattisgarh,Car,2
2006, Madhya Pradesh,Car,0
2006, Gujarat,Car,1
2006,Daman & Diu,Car,0
2006,Dadra & Nagar Haveli,Car,0
2006, Maharashtra,Car,9
2006, Andhra Pradesh,Car,16
2006, Karnataka,Car,4
2006, Goa,Car,0
2006,Lakshadweep,Car,0
2006, Kerala,Car,6
2006, Tamil Nadu,Car,19
2006,Puducherry,Car,0
2006,Andaman & Nicobar Islands,Car,0
2007, Jammu & Kashmir,Car,3
2007, Himachal Pradesh,Car,0
2007, Punjab,Car,7
2007,Chandigarh,Car,1
2007, Uttarakhand,Car,1
2007, Haryana,Car,1
2007,Delhi,Car,5
2007, Uttar Pradesh,Car,8
2007, Bihar,Car,4
2007, Sikkim,Car,0
2007, Nagaland,Car,2
2007, Manipur,Car,2
2007, Mizoram,Car,1
2007, Tripura,Car,3
2007, Meghalaya,Car,0
2007, Assam,Car,0
2007, West Bengal,Car,3
2007, Jharkhand,Car,0
2007, Odisha,Car,4
2007, Chhattisgarh,Car,2
2007, Madhya Pradesh,Car,0
2007, Gujarat,Car,1
2007,Daman & Diu,Car,0
2007,Dadra & Nagar Haveli,Car,0
2007, Maharashtra,Car,3
2007, Andhra Pradesh,Car,16
2007, Karnataka,Car,5
2007, Goa,Car,0
2007,Lakshadweep,Car,0
2007, Kerala,Car,14
2007, Tamil Nadu,Car,16
2007,Puducherry,Car,0
2007,Andaman & Nicobar Islands,Car,0
2001, Jammu & Kashmir,Jeep,11
2001, Himachal Pradesh,Jeep,0
2001, Punjab,Jeep,12
2001,Chandigarh,Jeep,1
2001, Uttarakhand,Jeep,5
2001, Haryana,Jeep,2
2001,Delhi,Jeep,6
2001, Rajasthan,Jeep,2
2001, Uttar Pradesh,Jeep,41
2001, Bihar,Jeep,0
2001, Sikkim,Jeep,2
2001, Nagaland,Jeep,7
2001, Manipur,Jeep,2
2001, Mizoram,Jeep,6
2001, Tripura,Jeep,2
2001, Meghalaya,Jeep,2
2001, Assam,Jeep,0
2001, West Bengal,Jeep,3
2001, Jharkhand,Jeep,3
2001, Odisha,Jeep,5
2001, Chhattisgarh,Jeep,6
2001, Madhya Pradesh,Jeep,14
2001, Gujarat,Jeep,13
2001,Daman & Diu,Jeep,0
2001,Dadra & Nagar Haveli,Jeep,0
2001, Maharashtra,Jeep,3
2001, Andhra Pradesh,Jeep,15
2001, Karnataka,Jeep,5
2001, Goa,Jeep,3
2001,Lakshadweep,Jeep,0
2001, Kerala,Jeep,15
2001, Tamil Nadu,Jeep,10
2001,Puducherry,Jeep,0
2002, Jammu & Kashmir,Jeep,4
2002, Himachal Pradesh,Jeep,1
2002, Punjab,Jeep,17
2002,Chandigarh,Jeep,1
2002, Uttarakhand,Jeep,7
2002, Haryana,Jeep,2
2002,Delhi,Jeep,6
2002, Rajasthan,Jeep,7
2002, Uttar Pradesh,Jeep,50
2002, Bihar,Jeep,17
2002, Sikkim,Jeep,2
2002, Nagaland,Jeep,7
2002, Manipur,Jeep,2
2002, Mizoram,Jeep,6
2002, Tripura,Jeep,2
2002, Meghalaya,Jeep,2
2002, Assam,Jeep,0
2002, West Bengal,Jeep,3
2002, Jharkhand,Jeep,4
2002, Odisha,Jeep,5
2002, Chhattisgarh,Jeep,6
2002, Madhya Pradesh,Jeep,16
2002, Gujarat,Jeep,13
2002,Daman & Diu,Jeep,0
2002,Dadra & Nagar Haveli,Jeep,0
2002, Maharashtra,Jeep,3
2002, Andhra Pradesh,Jeep,23
2002, Karnataka,Jeep,5
2002, Goa,Jeep,1
2002,Lakshadweep,Jeep,0
2002, Kerala,Jeep,15
2002, Tamil Nadu,Jeep,10
2002,Puducherry,Jeep,0
2003, Jammu & Kashmir,Jeep,4
2003, Himachal Pradesh,Jeep,1
2003, Punjab,Jeep,17
2003,Chandigarh,Jeep,0
2003, Uttarakhand,Jeep,9
2003, Haryana,Jeep,0
2003,Delhi,Jeep,6
2003, Rajasthan,Jeep,7
2003, Uttar Pradesh,Jeep,50
2003, Bihar,Jeep,18
2003, Sikkim,Jeep,2
2003, Nagaland,Jeep,1
2003, Manipur,Jeep,3
2003, Mizoram,Jeep,4
2003, Tripura,Jeep,2
2003, Meghalaya,Jeep,2
2003, Assam,Jeep,0
2003, West Bengal,Jeep,3
2003, Jharkhand,Jeep,7
2003, Odisha,Jeep,5
2003, Chhattisgarh,Jeep,6
2003, Madhya Pradesh,Jeep,14
2003, Gujarat,Jeep,13
2003,Daman & Diu,Jeep,0
2003,Dadra & Nagar Haveli,Jeep,0
2003, Maharashtra,Jeep,3
2003, Andhra Pradesh,Jeep,14
2003, Karnataka,Jeep,5
2003, Goa,Jeep,1
2003,Lakshadweep,Jeep,0
2003, Kerala,Jeep,33
2003, Tamil Nadu,Jeep,18
2003,Puducherry,Jeep,0
2003,Andaman & Nicobar Islands,Jeep,1
2004, Jammu & Kashmir,Jeep,0
2004, Himachal Pradesh,Jeep,0
2004, Punjab,Jeep,14
2004,Chandigarh,Jeep,0
2004, Uttarakhand,Jeep,9
2004, Haryana,Jeep,1
2004,Delhi,Jeep,5
2004, Rajasthan,Jeep,7
2004, Uttar Pradesh,Jeep,50
2004, Bihar,Jeep,10
2004, Sikkim,Jeep,2
2004, Nagaland,Jeep,1
2004, Manipur,Jeep,3
2004, Mizoram,Jeep,4
2004, Tripura,Jeep,2
2004, Meghalaya,Jeep,2
2004, Assam,Jeep,0
2004, West Bengal,Jeep,2
2004, Jharkhand,Jeep,7
2004, Odisha,Jeep,5
2004, Chhattisgarh,Jeep,5
2004, Madhya Pradesh,Jeep,14
2004, Gujarat,Jeep,16
2004,Daman & Diu,Jeep,0
2004,Dadra & Nagar Haveli,Jeep,0
2004, Maharashtra,Jeep,4
2004, Andhra Pradesh,Jeep,14
2004, Karnataka,Jeep,5
2004, Goa,Jeep,1
2004,Lakshadweep,Jeep,0
2004, Kerala,Jeep,33
2004, Tamil Nadu,Jeep,8
2004,Puducherry,Jeep,0
2004,Andaman & Nicobar Islands,Jeep,1
2005, Jammu & Kashmir,Jeep,0
2005, Himachal Pradesh,Jeep,0
2005, Punjab,Jeep,14
2005,Chandigarh,Jeep,0
2005, Uttarakhand,Jeep,9
2005, Haryana,Jeep,3
2005,Delhi,Jeep,8
2005, Rajasthan,Jeep,7
2005, Uttar Pradesh,Jeep,50
2005, Bihar,Jeep,10
2005, Sikkim,Jeep,2
2005, Nagaland,Jeep,1
2005, Manipur,Jeep,0
2005, Mizoram,Jeep,4
2005, Tripura,Jeep,2
2005, Meghalaya,Jeep,1
2005, Assam,Jeep,0
2005, West Bengal,Jeep,2
2005, Jharkhand,Jeep,7
2005, Odisha,Jeep,5
2005, Chhattisgarh,Jeep,4
2005, Madhya Pradesh,Jeep,12
2005, Gujarat,Jeep,16
2005,Daman & Diu,Jeep,0
2005,Dadra & Nagar Haveli,Jeep,0
2005, Maharashtra,Jeep,5
2005, Andhra Pradesh,Jeep,14
2005, Karnataka,Jeep,5
2005, Goa,Jeep,2
2005,Lakshadweep,Jeep,0
2005, Kerala,Jeep,33
2005, Tamil Nadu,Jeep,9
2005,Puducherry,Jeep,0
2005,Andaman & Nicobar Islands,Jeep,0
2006, Jammu & Kashmir,Jeep,10
2006, Himachal Pradesh,Jeep,0
2006, Punjab,Jeep,14
2006,Chandigarh,Jeep,0
2006, Uttarakhand,Jeep,7
2006, Haryana,Jeep,3
2006,Delhi,Jeep,9
2006, Rajasthan,Jeep,7
2006, Uttar Pradesh,Jeep,37
2006, Bihar,Jeep,10
2006, Sikkim,Jeep,2
2006, Nagaland,Jeep,8
2006, Manipur,Jeep,0
2006, Mizoram,Jeep,1
2006, Tripura,Jeep,1
2006, Meghalaya,Jeep,2
2006, Assam,Jeep,0
2006, West Bengal,Jeep,2
2006, Jharkhand,Jeep,9
2006, Odisha,Jeep,5
2006, Chhattisgarh,Jeep,3
2006, Madhya Pradesh,Jeep,14
2006, Gujarat,Jeep,12
2006,Daman & Diu,Jeep,0
2006,Dadra & Nagar Haveli,Jeep,0
2006, Maharashtra,Jeep,2
2006, Andhra Pradesh,Jeep,14
2006, Karnataka,Jeep,5
2006, Goa,Jeep,2
2006,Lakshadweep,Jeep,0
2006, Kerala,Jeep,29
2006, Tamil Nadu,Jeep,13
2006,Puducherry,Jeep,1
2006,Andaman & Nicobar Islands,Jeep,1
2007, Jammu & Kashmir,Jeep,0
2007, Himachal Pradesh,Jeep,0
2007, Punjab,Jeep,15
2007,Chandigarh,Jeep,0
2007, Uttarakhand,Jeep,8
2007, Haryana,Jeep,2
2007,Delhi,Jeep,8
2007, Uttar Pradesh,Jeep,61
2007, Bihar,Jeep,10
2007, Sikkim,Jeep,5
2007, Nagaland,Jeep,6
2007, Manipur,Jeep,2
2007, Mizoram,Jeep,1
2007, Tripura,Jeep,1
2007, Meghalaya,Jeep,1
2007, Assam,Jeep,0
2007, West Bengal,Jeep,2
2007, Jharkhand,Jeep,14
2007, Odisha,Jeep,4
2007, Chhattisgarh,Jeep,3
2007, Madhya Pradesh,Jeep,14
2007, Gujarat,Jeep,11
2007,Daman & Diu,Jeep,0
2007,Dadra & Nagar Haveli,Jeep,0
2007, Maharashtra,Jeep,1
2007, Andhra Pradesh,Jeep,14
2007, Karnataka,Jeep,5
2007, Goa,Jeep,1
2007,Lakshadweep,Jeep,0
2007, Kerala,Jeep,49
2007, Tamil Nadu,Jeep,14
2007,Puducherry,Jeep,0
2007,Andaman & Nicobar Islands,Jeep,1
2001, Jammu & Kashmir,Lorry,2
2001, Himachal Pradesh,Lorry,0
2001, Punjab,Lorry,0
2001,Chandigarh,Lorry,1
2001, Uttarakhand,Lorry,0
2001, Haryana,Lorry,0
2001,Delhi,Lorry,4
2001, Rajasthan,Lorry,0
2001, Uttar Pradesh,Lorry,6
2001, Bihar,Lorry,0
2001, Sikkim,Lorry,0
2001, Nagaland,Lorry,0
2001, Manipur,Lorry,1
2001, Mizoram,Lorry,0
2001, Tripura,Lorry,0
2001, Meghalaya,Lorry,0
2001, Assam,Lorry,0
2001, West Bengal,Lorry,0
2001, Jharkhand,Lorry,0
2001, Odisha,Lorry,1
2001, Chhattisgarh,Lorry,16
2001, Madhya Pradesh,Lorry,31
2001, Gujarat,Lorry,5
2001,Daman & Diu,Lorry,0
2001,Dadra & Nagar Haveli,Lorry,0
2001, Maharashtra,Lorry,6
2001, Andhra Pradesh,Lorry,0
2001, Karnataka,Lorry,0
2001, Goa,Lorry,0
2001,Lakshadweep,Lorry,0
2001, Kerala,Lorry,0
2001, Tamil Nadu,Lorry,5
2001,Puducherry,Lorry,0
2002, Jammu & Kashmir,Lorry,1
2002, Himachal Pradesh,Lorry,0
2002, Punjab,Lorry,15
2002,Chandigarh,Lorry,1
2002, Uttarakhand,Lorry,0
2002, Haryana,Lorry,0
2002,Delhi,Lorry,2
2002, Rajasthan,Lorry,4
2002, Uttar Pradesh,Lorry,7
2002, Bihar,Lorry,0
2002, Sikkim,Lorry,0
2002, Nagaland,Lorry,0
2002, Manipur,Lorry,1
2002, Mizoram,Lorry,0
2002, Tripura,Lorry,0
2002, Meghalaya,Lorry,0
2002, Assam,Lorry,0
2002, West Bengal,Lorry,0
2002, Jharkhand,Lorry,0
2002, Odisha,Lorry,1
2002, Chhattisgarh,Lorry,17
2002, Madhya Pradesh,Lorry,32
2002, Gujarat,Lorry,3
2002,Daman & Diu,Lorry,0
2002,Dadra & Nagar Haveli,Lorry,0
2002, Maharashtra,Lorry,6
2002, Andhra Pradesh,Lorry,0
2002, Karnataka,Lorry,3
2002, Goa,Lorry,0
2002,Lakshadweep,Lorry,0
2002, Kerala,Lorry,0
2002, Tamil Nadu,Lorry,5
2002,Puducherry,Lorry,0
2003, Jammu & Kashmir,Lorry,1
2003, Himachal Pradesh,Lorry,0
2003, Punjab,Lorry,15
2003,Chandigarh,Lorry,0
2003, Uttarakhand,Lorry,0
2003, Haryana,Lorry,0
2003,Delhi,Lorry,3
2003, Rajasthan,Lorry,4
2003, Uttar Pradesh,Lorry,7
2003, Bihar,Lorry,0
2003, Sikkim,Lorry,0
2003, Nagaland,Lorry,3
2003, Manipur,Lorry,1
2003, Mizoram,Lorry,0
2003, Tripura,Lorry,0
2003, Meghalaya,Lorry,0
2003, Assam,Lorry,0
2003, West Bengal,Lorry,0
2003, Jharkhand,Lorry,0
2003, Odisha,Lorry,1
2003, Chhattisgarh,Lorry,13
2003, Madhya Pradesh,Lorry,32
2003, Gujarat,Lorry,3
2003,Daman & Diu,Lorry,0
2003,Dadra & Nagar Haveli,Lorry,0
2003, Maharashtra,Lorry,15
2003, Andhra Pradesh,Lorry,0
2003, Karnataka,Lorry,3
2003, Goa,Lorry,0
2003,Lakshadweep,Lorry,0
2003, Kerala,Lorry,0
2003, Tamil Nadu,Lorry,5
2003,Puducherry,Lorry,0
2003,Andaman & Nicobar Islands,Lorry,1
2004, Jammu & Kashmir,Lorry,2
2004, Himachal Pradesh,Lorry,0
2004, Punjab,Lorry,0
2004,Chandigarh,Lorry,1
2004, Uttarakhand,Lorry,0
2004, Haryana,Lorry,0
2004,Delhi,Lorry,1
2004, Rajasthan,Lorry,4
2004, Uttar Pradesh,Lorry,7
2004, Bihar,Lorry,0
2004, Sikkim,Lorry,0
2004, Nagaland,Lorry,3
2004, Manipur,Lorry,1
2004, Mizoram,Lorry,0
2004, Tripura,Lorry,0
2004, Meghalaya,Lorry,0
2004, Assam,Lorry,0
2004, West Bengal,Lorry,0
2004, Jharkhand,Lorry,0
2004, Odisha,Lorry,1
2004, Chhattisgarh,Lorry,12
2004, Madhya Pradesh,Lorry,32
2004, Gujarat,Lorry,3
2004,Daman & Diu,Lorry,0
2004,Dadra & Nagar Haveli,Lorry,0
2004, Maharashtra,Lorry,10
2004, Andhra Pradesh,Lorry,0
2004, Karnataka,Lorry,3
2004, Goa,Lorry,0
2004,Lakshadweep,Lorry,0
2004, Kerala,Lorry,0
2004, Tamil Nadu,Lorry,4
2004,Puducherry,Lorry,0
2004,Andaman & Nicobar Islands,Lorry,1
2005, Jammu & Kashmir,Lorry,2
2005, Himachal Pradesh,Lorry,0
2005, Punjab,Lorry,0
2005,Chandigarh,Lorry,0
2005, Uttarakhand,Lorry,0
2005, Haryana,Lorry,1
2005,Delhi,Lorry,4
2005, Rajasthan,Lorry,2
2005, Uttar Pradesh,Lorry,4
2005, Bihar,Lorry,0
2005, Sikkim,Lorry,0
2005, Nagaland,Lorry,3
2005, Manipur,Lorry,1
2005, Mizoram,Lorry,0
2005, Tripura,Lorry,0
2005, Meghalaya,Lorry,0
2005, Assam,Lorry,0
2005, West Bengal,Lorry,0
2005, Jharkhand,Lorry,0
2005, Odisha,Lorry,1
2005, Chhattisgarh,Lorry,9
2005, Madhya Pradesh,Lorry,24
2005, Gujarat,Lorry,3
2005,Daman & Diu,Lorry,0
2005,Dadra & Nagar Haveli,Lorry,0
