STATE/UT,YEAR,No. of Convict Women Prisoners with Children,No. of Children of Convict Women Prisoners,No. of Under trial Women Prisoners with Children,No. of children of Under trial Women Prisoners,No. of Detenues Women Prisoners with Children,No. of children of Detenues Women Prisoners,No. of Other Women Prisoners with Children,No. of children of  Other Women Prisoners,Total No. of Women Prisoners with Children,Total No. of children of  Women Prisoners
JAMMU & KASHMIR,2001,1,2,3,3,2,2,0,0,6,7
JAMMU & KASHMIR,2002,0,0,14,5,1,1,0,0,15,6
JAMMU & KASHMIR,2003,0,0,7,7,0,0,0,0,7,7
JAMMU & KASHMIR,2004,0,0,5,6,0,0,0,0,5,6
JAMMU & KASHMIR,2005,0,0,4,4,0,0,0,0,4,4
JAMMU & KASHMIR,2006,0,0,4,4,0,0,0,0,4,4
JAMMU & KASHMIR,2007,0,0,8,11,0,0,0,0,8,11
JAMMU & KASHMIR,2008,0,0,11,13,0,0,0,0,11,13
JAMMU & KASHMIR,2009,2,2,13,15,0,0,0,0,15,17
JAMMU & KASHMIR,2010,0,0,9,10,3,5,0,0,12,15
JAMMU & KASHMIR,2011,0,0,4,5,3,5,0,0,7,10
JAMMU & KASHMIR,2012,1,1,5,5,0,0,0,0,6,6
JHARKHAND,2001,5,5,56,56,0,0,0,0,61,61
JHARKHAND,2002,4,4,32,43,0,0,0,0,36,47
JHARKHAND,2003,31,34,118,95,0,0,0,0,149,129
JHARKHAND,2004,19,17,177,110,0,0,0,0,196,127
JHARKHAND,2005,16,19,86,97,0,0,0,0,102,116
JHARKHAND,2006,18,20,96,101,0,0,0,0,114,121
JHARKHAND,2007,19,20,86,90,0,0,0,0,105,110
JHARKHAND,2008,17,19,101,121,0,0,0,0,118,140
JHARKHAND,2009,21,22,81,99,0,0,0,0,102,121
JHARKHAND,2010,23,26,109,118,0,0,0,0,132,144
JHARKHAND,2011,16,20,95,111,0,0,0,0,111,131
JHARKHAND,2012,13,19,95,113,0,0,0,0,108,132
KARNATAKA,2001,6,7,5,6,0,0,0,0,11,13
KARNATAKA,2002,35,40,2,2,0,0,0,0,37,42
KARNATAKA,2003,21,21,7,7,0,0,0,0,28,28
KARNATAKA,2004,27,27,4,4,0,0,0,0,31,31
KARNATAKA,2005,28,28,6,6,0,0,0,0,34,34
KARNATAKA,2006,8,8,21,21,0,0,0,0,29,29
KARNATAKA,2007,17,18,14,14,0,0,0,0,31,32
KARNATAKA,2008,19,20,4,4,0,0,0,0,23,24
KARNATAKA,2009,12,12,4,4,0,0,0,0,16,16
KARNATAKA,2010,8,8,6,6,0,0,0,0,14,14
KARNATAKA,2011,9,9,8,8,0,0,0,0,17,17
KARNATAKA,2012,8,10,6,6,0,0,0,0,14,16
KERALA,2001,1,1,11,12,0,0,0,0,12,13
KERALA,2002,1,1,3,3,0,0,0,0,4,4
KERALA,2003,1,1,4,4,0,0,0,0,5,5
KERALA,2004,5,5,3,3,0,0,0,0,8,8
KERALA,2005,5,5,3,3,0,0,0,0,8,8
KERALA,2006,5,5,7,7,0,0,0,0,12,12
KERALA,2007,2,2,3,3,0,0,0,0,5,5
KERALA,2008,9,9,8,8,0,0,0,0,17,17
KERALA,2009,1,1,8,8,0,0,0,0,9,9
KERALA,2010,0,0,11,11,0,0,0,0,11,11
KERALA,2011,2,2,6,6,0,0,0,0,8,8
KERALA,2012,3,3,7,7,0,0,0,0,10,10
MADHYA PRADESH,2001,37,41,81,92,0,0,0,0,118,133
MADHYA PRADESH,2002,41,39,99,89,0,0,0,0,140,128
MADHYA PRADESH,2003,46,40,120,105,0,0,0,0,166,145
MADHYA PRADESH,2004,30,40,66,78,0,0,0,0,96,118
MADHYA PRADESH,2005,47,58,74,78,0,0,0,1,121,137
MADHYA PRADESH,2006,42,43,63,65,0,0,0,0,105,108
MADHYA PRADESH,2007,32,35,75,78,0,0,0,0,107,113
MADHYA PRADESH,2008,36,40,80,101,0,0,0,0,116,141
MADHYA PRADESH,2009,47,54,70,85,0,0,0,0,117,139
MADHYA PRADESH,2010,44,59,67,78,0,0,0,0,111,137
MADHYA PRADESH,2011,39,51,96,116,0,0,0,0,135,167
MADHYA PRADESH,2012,46,55,89,107,1,1,0,0,136,163
MAHARASHTRA,2001,24,31,66,76,0,0,0,0,90,107
MAHARASHTRA,2002,16,20,83,89,0,0,0,0,99,109
MAHARASHTRA,2003,52,62,93,104,0,0,0,0,145,166
MAHARASHTRA,2004,59,66,91,103,0,0,0,0,150,169
MAHARASHTRA,2005,40,40,96,111,0,0,0,0,136,151
MAHARASHTRA,2006,52,68,88,107,0,0,0,0,140,175
MAHARASHTRA,2007,27,34,81,96,0,0,0,0,108,130
MAHARASHTRA,2008,36,41,125,158,0,0,0,0,161,199
MAHARASHTRA,2009,43,56,107,134,0,0,0,0,150,190
MAHARASHTRA,2010,14,21,97,114,0,0,0,0,111,135
MAHARASHTRA,2011,11,12,103,116,0,0,0,0,114,128
MAHARASHTRA,2012,13,15,92,106,0,0,0,0,105,121
MANIPUR,2001,0,0,0,0,0,0,0,0,0,0
MANIPUR,2002,0,0,1,1,0,0,0,0,1,1
MANIPUR,2003,0,0,0,0,0,0,0,0,0,0
MANIPUR,2004,0,0,0,0,0,0,0,0,0,0
MANIPUR,2005,0,0,0,0,0,0,0,0,0,0
MANIPUR,2006,0,0,0,0,0,0,0,0,0,0
MANIPUR,2007,0,0,0,0,0,0,0,0,0,0
MANIPUR,2008,0,0,0,0,0,0,0,0,0,0
MANIPUR,2009,0,0,2,2,0,0,0,0,2,2
MANIPUR,2010,0,0,0,0,0,0,0,0,0,0
MANIPUR,2011,0,0,0,0,0,0,0,0,0,0
MANIPUR,2012,0,0,2,3,0,0,0,0,2,3
MEGHALAYA,2001,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2002,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2003,0,0,3,3,0,0,0,0,3,3
MEGHALAYA,2004,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2005,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2006,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2007,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2008,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2009,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2010,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2011,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,0,0,0,0,0,0,0,0,0,0
MIZORAM,2001,1,1,3,3,0,0,0,0,4,4
MIZORAM,2002,2,2,4,4,0,0,0,0,6,6
MIZORAM,2003,0,0,6,6,0,0,0,0,6,6
MIZORAM,2004,0,0,7,7,0,0,0,0,7,7
MIZORAM,2005,4,4,4,4,0,0,0,0,8,8
MIZORAM,2006,2,2,2,2,0,0,0,0,4,4
MIZORAM,2007,3,3,9,9,0,0,0,0,12,12
MIZORAM,2008,0,0,0,0,0,0,0,0,0,0
MIZORAM,2009,1,1,0,0,0,0,0,0,1,1
MIZORAM,2010,0,0,2,2,0,0,0,0,2,2
MIZORAM,2011,0,0,1,1,0,0,0,0,1,1
MIZORAM,2012,1,1,0,0,0,0,0,0,1,1
NAGALAND,2001,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,0,0,2,2,0,0,0,0,2,2
NAGALAND,2003,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,0,0,0,0,0,0,0,0,0,0
NAGALAND,2006,0,0,3,3,0,0,0,0,3,3
NAGALAND,2007,1,1,0,0,0,0,0,0,1,1
NAGALAND,2008,0,0,0,0,0,0,0,0,0,0
NAGALAND,2009,0,0,2,2,0,0,0,0,2,2
NAGALAND,2010,1,1,0,0,0,0,0,0,1,1
NAGALAND,2011,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,0,0,1,1,0,0,0,0,1,1
ORISSA,2001,5,7,45,24,0,0,0,0,50,31
ORISSA,2002,0,0,41,30,0,0,0,0,41,30
ORISSA,2003,1,1,32,32,0,0,0,0,33,33
ORISSA,2004,0,0,25,25,0,0,0,0,25,25
ORISSA,2005,2,2,48,52,0,0,0,0,50,54
ORISSA,2006,6,6,43,46,0,0,0,0,49,52
ORISSA,2007,4,5,82,82,0,0,0,0,86,87
ORISSA,2008,5,7,46,46,0,0,0,0,51,53
ORISSA,2009,5,6,48,54,0,0,0,0,53,60
ORISSA,2010,7,7,35,39,0,0,0,0,42,46
ORISSA,2011,4,6,26,46,0,0,0,0,30,52
ORISSA,2012,2,2,22,37,0,0,0,0,24,39
PUNJAB,2001,6,6,3,3,0,0,0,0,9,9
PUNJAB,2002,7,18,0,0,0,0,0,0,7,18
PUNJAB,2003,53,24,88,34,0,0,0,0,141,58
PUNJAB,2004,39,26,49,33,0,0,0,0,88,59
PUNJAB,2005,10,10,64,70,0,0,0,0,74,80
PUNJAB,2006,11,11,50,58,0,0,0,0,61,69
PUNJAB,2007,5,5,46,49,0,0,0,0,51,54
PUNJAB,2008,7,7,26,41,0,0,0,0,33,48
PUNJAB,2009,26,32,44,56,0,0,12,18,82,106
PUNJAB,2010,18,20,40,47,0,0,6,11,64,78
PUNJAB,2011,16,19,31,34,0,0,6,11,53,64
PUNJAB,2012,16,16,62,64,0,0,2,9,80,89
RAJASTHAN,2001,20,25,34,35,0,0,0,0,54,60
RAJASTHAN,2002,21,27,22,23,0,0,0,0,43,50
RAJASTHAN,2003,22,22,27,28,0,0,0,0,49,50
RAJASTHAN,2004,20,22,25,26,0,0,0,0,45,48
RAJASTHAN,2005,17,17,24,30,0,0,0,0,41,47
RAJASTHAN,2006,16,16,42,46,0,0,0,0,58,62
RAJASTHAN,2007,19,23,47,53,0,0,0,0,66,76
RAJASTHAN,2008,9,9,45,47,0,0,0,0,54,56
RAJASTHAN,2009,32,38,39,41,0,0,0,0,71,79
RAJASTHAN,2010,12,12,27,28,0,0,0,0,39,40
RAJASTHAN,2011,16,21,43,44,0,0,0,0,59,65
RAJASTHAN,2012,4,5,41,42,0,0,0,0,45,47
SIKKIM,2001,0,0,0,0,0,0,0,0,0,0
SIKKIM,2002,0,0,0,0,0,0,0,0,0,0
SIKKIM,2003,0,0,1,1,0,0,0,0,1,1
SIKKIM,2004,0,0,0,0,0,0,0,0,0,0
SIKKIM,2005,0,0,0,0,0,0,0,0,0,0
SIKKIM,2006,0,0,0,0,0,0,0,0,0,0
SIKKIM,2007,0,0,0,0,0,0,0,0,0,0
SIKKIM,2008,0,0,0,0,0,0,0,0,0,0
SIKKIM,2009,0,0,1,1,0,0,0,0,1,1
SIKKIM,2010,0,0,0,0,0,0,0,0,0,0
SIKKIM,2011,0,0,0,0,0,0,0,0,0,0
SIKKIM,2012,0,0,1,1,0,0,0,0,1,1
TAMILNADU,2001,5,5,51,55,5,5,15,15,76,80
TAMILNADU,2002,7,7,3,4,3,3,61,61,74,75
TAMILNADU,2003,8,8,4,4,4,4,43,43,59,59
TAMILNADU,2004,10,10,17,17,4,4,53,53,84,84
TAMILNADU,2005,21,21,16,16,5,5,33,33,75,75
TAMILNADU,2006,18,18,14,14,3,3,19,19,54,54
TAMILNADU,2007,57,57,0,0,0,0,0,0,57,57
TAMILNADU,2008,10,10,35,35,0,0,0,0,45,45
TAMILNADU,2009,10,10,45,45,0,0,0,0,55,55
TAMILNADU,2010,4,4,32,32,0,0,0,0,36,36
TAMILNADU,2011,7,7,27,27,0,0,0,0,34,34
TAMILNADU,2012,5,5,9,9,0,0,0,0,14,14
TRIPURA,2001,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,0,0,1,1,0,0,0,0,1,1
TRIPURA,2004,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,1,1,0,0,0,0,0,0,1,1
TRIPURA,2006,0,0,1,2,0,0,0,0,1,2
TRIPURA,2007,1,1,1,1,0,0,0,0,2,2
TRIPURA,2008,2,2,0,0,0,0,0,0,2,2
TRIPURA,2009,2,2,1,1,0,0,0,0,3,3
TRIPURA,2010,1,1,0,0,0,0,0,0,1,1
TRIPURA,2011,0,0,2,2,0,0,0,0,2,2
TRIPURA,2012,0,0,1,1,0,0,0,0,1,1
UTTAR PRADESH,2001,16,17,247,223,0,0,0,0,263,240
UTTAR PRADESH,2002,30,33,250,200,1,1,0,0,281,234
UTTAR PRADESH,2003,23,30,149,158,0,0,0,0,172,188
UTTAR PRADESH,2004,20,22,199,211,0,0,0,0,219,233
UTTAR PRADESH,2005,26,26,220,220,0,0,0,0,246,246
UTTAR PRADESH,2006,52,64,223,254,0,0,0,0,275,318
UTTAR PRADESH,2007,60,68,270,273,0,0,0,0,330,341
UTTAR PRADESH,2008,95,119,280,345,0,0,0,0,375,464
UTTAR PRADESH,2009,96,96,322,332,0,0,0,0,418,428
UTTAR PRADESH,2010,118,118,297,306,0,0,0,0,415,424
UTTAR PRADESH,2011,120,120,301,307,0,0,0,0,421,427
UTTAR PRADESH,2012,94,94,311,337,0,0,0,0,405,431
UTTARANCHAL,2001,1,1,7,10,0,0,0,0,8,11
UTTARANCHAL,2002,2,2,9,10,0,0,0,0,11,12
UTTARANCHAL,2003,0,0,4,6,0,0,0,0,4,6
UTTARANCHAL,2004,0,0,12,12,0,0,0,0,12,12
UTTARANCHAL,2005,2,3,1,1,0,0,0,0,3,4
UTTARANCHAL,2006,2,3,6,7,0,0,0,0,8,10
UTTARANCHAL,2007,2,3,4,4,0,0,0,0,6,7
UTTARANCHAL,2008,2,2,6,8,0,0,0,0,8,10
UTTARANCHAL,2009,2,2,3,4,0,0,0,0,5,6
UTTARANCHAL,2010,3,3,5,6,0,0,0,0,8,9
UTTARANCHAL,2011,1,1,11,11,0,0,0,0,12,12
UTTARANCHAL,2012,0,0,6,7,0,0,0,0,6,7
WEST BENGAL,2001,8,10,30,32,0,0,0,0,38,42
WEST BENGAL,2002,35,45,200,191,0,0,0,0,235,236
WEST BENGAL,2003,11,18,80,107,0,0,0,0,91,125
WEST BENGAL,2004,19,28,112,153,0,0,0,0,131,181
WEST BENGAL,2005,14,21,58,67,0,0,5,8,77,96
WEST BENGAL,2006,30,30,112,160,0,0,2,2,144,192
WEST BENGAL,2007,13,21,225,276,0,0,9,13,247,310
WEST BENGAL,2008,75,99,215,261,0,0,5,12,295,372
WEST BENGAL,2009,58,82,125,132,0,0,5,14,188,228
WEST BENGAL,2010,54,76,55,74,0,0,13,24,122,174
WEST BENGAL,2011,34,55,82,86,0,0,8,14,124,155
WEST BENGAL,2012,30,43,122,153,0,0,17,24,169,220
A & N ISLANDS,2001,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2003,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2004,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2005,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2006,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2007,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2008,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2009,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2010,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2011,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2012,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2001,0,0,3,6,0,0,0,0,3,6
CHANDIGARH,2002,0,0,2,4,0,0,0,0,2,4
CHANDIGARH,2003,1,1,4,5,0,0,0,0,5,6
CHANDIGARH,2004,0,0,3,4,0,0,0,0,3,4
CHANDIGARH,2005,1,2,0,0,0,0,0,0,1,2
CHANDIGARH,2006,1,1,1,1,0,0,0,0,2,2
CHANDIGARH,2007,1,1,0,0,0,0,0,0,1,1
CHANDIGARH,2008,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2009,1,1,1,1,0,0,0,0,2,2
CHANDIGARH,2010,1,1,2,2,0,0,0,0,3,3
CHANDIGARH,2011,1,1,2,2,0,0,0,0,3,3
CHANDIGARH,2012,1,1,2,2,0,0,0,0,3,3
D & N HAVELI,2001,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2002,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2003,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2004,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2005,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2006,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2007,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2008,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2009,0,0,1,1,0,0,0,0,1,1
D & N HAVELI,2010,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2011,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2001,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2002,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2003,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2004,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2005,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2006,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2007,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2008,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2009,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2010,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2011,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,0,0,0,0,0,0,0,0,0,0
DELHI,2001,6,6,51,60,0,0,0,0,57,66
DELHI,2002,3,3,36,37,0,0,0,0,39,40
DELHI,2003,4,4,39,41,0,0,0,0,43,45
DELHI,2004,6,7,38,48,0,0,0,0,44,55
DELHI,2005,4,4,34,35,0,0,0,0,38,39
DELHI,2006,3,3,47,55,0,0,0,0,50,58
DELHI,2007,6,8,59,67,0,0,0,0,65,75
DELHI,2008,4,4,44,58,0,0,0,0,48,62
DELHI,2009,2,2,43,47,0,0,0,0,45,49
DELHI,2010,6,8,39,44,0,0,0,0,45,52
DELHI,2011,0,0,42,48,0,0,0,0,42,48
DELHI,2012,4,4,35,38,0,0,0,0,39,42
LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2002,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2003,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2004,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2005,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2007,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2008,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2009,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2010,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2011,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2001,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2002,1,1,0,0,0,0,0,0,1,1
PONDICHERRY,2003,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2004,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2005,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2006,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2007,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2008,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2009,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2010,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2011,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,2012,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2013,11,11,46,48,0,0,0,0,57,59
ARUNACHAL PRADESH,2013,0,0,0,0,0,0,0,0,0,0
ASSAM,2013,14,17,21,26,0,0,6,7,41,50
BIHAR,2013,7,7,127,187,0,0,0,0,134,194
CHHATISGARH,2013,32,35,62,70,0,0,0,0,94,105
GOA,2013,0,0,0,0,0,0,0,0,0,0
GUJARAT,2013,5,5,37,40,1,1,0,0,43,46
HARYANA,2013,24,28,40,48,0,0,0,0,64,76
HIMACHAL PRADESH,2013,2,2,2,2,0,0,0,0,4,4
JAMMU & KASHMIR,2013,0,0,4,4,1,1,0,0,5,5
JHARKHAND,2013,15,19,106,124,0,0,0,0,121,143
KARNATAKA,2013,21,21,12,12,0,0,0,0,33,33
KERALA,2013,1,1,4,6,0,0,0,0,5,7
MADHYA PRADESH,2013,41,55,61,70,0,0,0,0,102,125
MAHARASHTRA,2013,14,16,98,117,0,0,0,0,112,133
MANIPUR,2013,0,0,1,1,0,0,0,0,1,1
MEGHALAYA,2013,0,0,0,0,0,0,0,0,0,0
MIZORAM,2013,0,0,1,1,0,0,0,0,1,1
NAGALAND,2013,0,0,0,0,0,0,0,0,0,0
ORISSA,2013,3,4,33,76,0,0,0,0,36,80
PUNJAB,2013,21,21,52,53,0,0,1,1,74,75
RAJASTHAN,2013,6,6,38,44,0,0,0,0,44,50
